          397         101
   0.2424400       5.000000       6514562.       20000.00    
   0.9999677      0.9999675      0.9999742      0.9999738      0.9999795    
   0.9999853      0.9999933       1.000004       1.000014       1.000031    
    1.000051       1.000068       1.000107       1.000131       1.000191    
    1.000235       1.000317       1.000390       1.000501       1.000625    
    1.000781       1.001003       1.001190       1.001260       1.001063    
    1.000578      0.9998263      0.9988675      0.9977676      0.9965492    
   0.9951869      0.9937675      0.9923394      0.9909221      0.9894656    
   0.9878752      0.9859362      0.9831286      0.9788142      0.9570914    
   0.9527464      0.9531633      0.9528539      0.9522621      0.9516801    
   0.9511617      0.9507059      0.9502961      0.9499224      0.9495777    
   0.9492480      0.9489286      0.9486288      0.9483479      0.9480818    
   0.9478317      0.9475932      0.9473570      0.9471281      0.9469151    
   0.9467100      0.9465057      0.9463115      0.9461311      0.9459589    
   0.9457939      0.9456337      0.9454813      0.9453387      0.9452071    
   0.9450823      0.9449590      0.9448425      0.9447343      0.9446253    
   0.9445217      0.9444363      0.9443493      0.9442544      0.9441656    
   0.9440829      0.9440057      0.9439325      0.9438609      0.9437857    
   0.9437147      0.9436584      0.9436012      0.9435387      0.9434629    
   0.9434000      0.9433729      0.9433460      0.9432991      0.9432088    
   0.9431143      0.9430546      0.9430370      0.9430395      0.9430057    
   0.9429545      0.9429025      0.9428355      0.9427603      0.9426730    
   0.9426076      0.9425945      0.9425986      0.9425948      0.9425548    
   0.9424844      0.9423940      0.9423338      0.9423488      0.9423370    
   0.9423367      0.9423781      0.9424664      0.9425759      0.9428406    
   0.9431589      0.9431434      0.9429560      0.9432963      0.9436461    
   0.9436038      0.9434457      0.9434489      0.9440047      0.9448398    
   0.9451561      0.9450349      0.9452549      0.9457442      0.9464619    
   0.9473570      0.9482366      0.9487638      0.9488371      0.9497309    
   0.9507629      0.9512358      0.9517387      0.9526042      0.9533517    
   0.9540372      0.9548379      0.9555986      0.9564831      0.9573236    
   0.9581089      0.9590806      0.9598921      0.9607093      0.9616432    
   0.9625550      0.9635252      0.9645566      0.9656103      0.9666405    
   0.9675261      0.9685903      0.9699066      0.9712498      0.9725683    
   0.9738546      0.9750958      0.9762822      0.9773795      0.9784473    
   0.9794865      0.9804540      0.9813042      0.9820805      0.9828056    
   0.9833840      0.9837751      0.9839576      0.9838943      0.9835793    
   0.9830214      0.9821731      0.9810404      0.9796411      0.9779675    
   0.9757764      0.9733174      0.9708897      0.9679909      0.9646541    
   0.9610143      0.9571722      0.9536743      0.9503080      0.9464901    
   0.9425603      0.9390781      0.9356796      0.9320599      0.9284103    
   0.9248651      0.9214167      0.9179176      0.9144138      0.9119691    
   0.9106627      0.9094703      0.9083245      0.9073552      0.9062804    
   0.9049147      0.9026224      0.8997343      0.8967749      0.8938067    
   0.8918779      0.8910011      0.8893733      0.8883039      0.8871841    
   0.8851714      0.8840218      0.8838959      0.8833254      0.8821714    
   0.8811354      0.8801150      0.8796960      0.8793404      0.8792782    
   0.8798057      0.8794384      0.8797252      0.8788866      0.8803552    
   0.8849872      0.8830624      0.8779084      0.8741326      0.8778457    
   0.8808537      0.8818342      0.8819767      0.8824924      0.8834395    
   0.8843408      0.8849381      0.8854091      0.8863969      0.8885648    
   0.8912492      0.8934489      0.8951302      0.8963187      0.8967693    
   0.8969975      0.8977904      0.8990589      0.9007605      0.9023283    
   0.9035915      0.9047899      0.9059447      0.9071009      0.9080791    
   0.9088308      0.9094510      0.9092450      0.9090040      0.9098238    
   0.9113722      0.9126559      0.9132278      0.9133626      0.9137660    
   0.9142182      0.9147835      0.9155889      0.9164019      0.9169880    
   0.9175298      0.9182946      0.9190083      0.9196306      0.9195065    
   0.9194932      0.9201128      0.9211562      0.9223098      0.9230157    
   0.9234124      0.9235044      0.9232412      0.9234744      0.9238555    
   0.9244212      0.9250138      0.9255528      0.9261337      0.9267040    
   0.9271805      0.9275538      0.9280136      0.9287711      0.9297114    
   0.9304283      0.9308730      0.9312223      0.9313357      0.9313818    
   0.9315357      0.9317893      0.9320702      0.9323450      0.9326373    
   0.9330217      0.9334727      0.9340502      0.9346877      0.9352679    
   0.9357922      0.9363244      0.9369378      0.9375085      0.9379990    
   0.9384891      0.9390404      0.9395990      0.9401160      0.9406295    
   0.9411457      0.9416351      0.9422529      0.9428850      0.9433610    
   0.9436926      0.9439570      0.9440857      0.9443816      0.9449400    
   0.9455845      0.9460486      0.9465228      0.9470062      0.9474885    
   0.9479876      0.9484903      0.9489885      0.9494861      0.9499843    
   0.9504814      0.9509823      0.9514933      0.9520143      0.9525215    
   0.9529343      0.9530817      0.9546808      0.9788153      0.9831286    
   0.9859350      0.9878740      0.9894641      0.9909204      0.9923371    
   0.9937649      0.9951844      0.9965471      0.9977676      0.9988696    
   0.9998278       1.000579       1.001063       1.001260       1.001190    
    1.001003       1.000781       1.000625       1.000501       1.000390    
    1.000317       1.000235       1.000191       1.000131       1.000107    
    1.000068       1.000051       1.000031       1.000014       1.000004    
   0.9999932      0.9999853      0.9999795      0.9999738      0.9999742    
   0.9999676      0.9999676      0.9999678      0.9999678      0.9999744    
   0.9999740      0.9999795      0.9999852      0.9999931       1.000004    
    1.000014       1.000031       1.000051       1.000068       1.000107    
    1.000131       1.000191       1.000235       1.000316       1.000390    
    1.000502       1.000625       1.000781       1.001004       1.001188    
    1.001256       1.001052       1.000563      0.9998145      0.9988605    
   0.9977645      0.9965471      0.9951860      0.9937670      0.9923394    
   0.9909227      0.9894665      0.9878763      0.9859376      0.9831348    
   0.9788484      0.9584596      0.9544302      0.9548546      0.9545977    
   0.9540246      0.9534677      0.9529664      0.9525255      0.9521292    
   0.9517676      0.9514340      0.9511145      0.9508051      0.9505143    
   0.9502420      0.9499838      0.9497411      0.9495093      0.9492798    
   0.9490574      0.9488504      0.9486511      0.9484523      0.9482636    
